logNN.thrstint1_x,logNN.thrstint1_y,logNN.thrstint2_x,logNN.thrstint2_y,logNN.thrstint3_x,logNN.thrstint3_y,logNN.thrstint4_x,logNN.thrstint4_y
88458.,3367.,88458.,4732.,88458.,5915.,88458.,4980.
88558.,1052.,88558.,0.,88558.,0.,88558.,2765.
88658.,0.,88658.,0.,88658.,0.,88658.,0.
88758.,1085.,88758.,1008.,88758.,5743.,88758.,2316.
88858.,11349.,88858.,4587.,88858.,4620.,88858.,10025.
88958.,5393.,88958.,9372.,88958.,5828.,88958.,7843.
89058.,8067.,89058.,8313.,89058.,7052.,89058.,8958.
89158.,5786.,89158.,6155.,89158.,9069.,89158.,6408.
89258.,5564.,89258.,6184.,89258.,4903.,89258.,3804.
89358.,2292.,89358.,4167.,89358.,5155.,89358.,1297.
89458.,2244.,89458.,5840.,89458.,1387.,89458.,2806.
89558.,10245.,89558.,0.,89558.,15880.,89558.,2751.
89658.,6207.,89658.,16853.,89658.,3574.,89658.,16653.
89758.,697.,89758.,15274.,89758.,3015.,89758.,11332.
89858.,26247.,89858.,22350.,89858.,28962.,89858.,29703.
89958.,22090.,89958.,17605.,89958.,16575.,89958.,17961.
90058.,17834.,90058.,12566.,90058.,16867.,90058.,20607.
90158.,9090.,90158.,6487.,90158.,8722.,90158.,11662.
90258.,3864.,90258.,5160.,90258.,5386.,90258.,4330.
90358.,4127.,90358.,0.,90358.,1978.,90358.,258.
90458.,1086.,90458.,0.,90458.,0.,90458.,354.
90558.,2038.,90558.,1223.,90558.,5419.,90558.,3763.
90658.,311.,90658.,834.,90658.,3298.,90658.,2664.
90758.,2442.,90758.,4577.,90758.,7199.,90758.,4570.
90858.,0.,90858.,0.,90858.,527.,90858.,0.
90958.,0.,90958.,0.,90958.,0.,90958.,0.
91058.,4015.,91058.,4304.,91058.,4253.,91058.,468.
91158.,8555.,91158.,7331.,91158.,7243.,91158.,7212.
91258.,5944.,91258.,8503.,91258.,13646.,91258.,9099.
91358.,5711.,91358.,7240.,91358.,9720.,91358.,9593.
91458.,4763.,91458.,6441.,91458.,7721.,91458.,6098.
91558.,7140.,91558.,3940.,91558.,5702.,91558.,3499.
91658.,4416.,91658.,1210.,91658.,0.,91658.,3426.
91758.,895.,91758.,0.,91758.,34841.,91758.,0.
91858.,13653.,91858.,10155.,91858.,11605.,91858.,7234.
91958.,3747.,91958.,17347.,91958.,4144.,91958.,16169.
92058.,13476.,92058.,19836.,92058.,20236.,92058.,19973.
92158.,25281.,92158.,20317.,92158.,20725.,92158.,17681.
92258.,20277.,92258.,16886.,92258.,20894.,92258.,18711.
92358.,9596.,92358.,12017.,92358.,12330.,92358.,14647.
92458.,7376.,92458.,6210.,92458.,5280.,92458.,4005.
92558.,2899.,92558.,2948.,92558.,5718.,92558.,4822.
92658.,1183.,92658.,0.,92658.,0.,92658.,0.
92758.,2639.,92758.,2341.,92758.,0.,92758.,3237.
92858.,3166.,92858.,1278.,92858.,994.,92858.,179.
92958.,5120.,92958.,2865.,92958.,6012.,92958.,9133.
93058.,1438.,93058.,1600.,93058.,3130.,93058.,1213.
93158.,0.,93158.,2683.,93158.,3351.,93158.,0.
93258.,2909.,93258.,304.,93258.,3918.,93258.,2378.
93358.,2363.,93358.,4530.,93358.,6106.,93358.,6269.
93459.,7802.,93459.,6807.,93459.,4186.,93459.,7369.
93558.,5470.,93558.,8980.,93558.,11873.,93558.,5601.
93659.,7688.,93659.,8701.,93659.,7852.,93659.,3695.
93759.,4418.,93759.,6242.,93759.,6790.,93759.,3788.
93859.,3847.,93859.,4021.,93859.,5501.,93859.,5574.
93958.,0.,93958.,3322.,93958.,3866.,93958.,4655.
94058.,13471.,94058.,5329.,94058.,2176.,94058.,0.
94158.,11979.,94158.,12251.,94158.,13546.,94158.,13556.
